P10790390X0000|67 75|mod ( mdg4 )
P09712037A0470|44 46|Fyn
P11287578A1311|152 153|E6
P08634697A1155|78 82|Brca1
P10544088A0308|3 11|NF-kappaB
P01468625A1080|39 42|NSR1
P10684967A0000|0 5|NKX2.1
P07814321A0850|21 24|ponA
P09085842A0181|112 120|SR domains
P08386318A1102|10 13|IL-6
P10623804A0808|88 92|SHP-1
P08220494A0231|120 132|T-cyt promotor
P08748033A0874|133 136|DegP
P10477597A0126|142 145|SAPK
P07518460A0771|31 35|PTP1C
P11274368A0469|76 93|histone deacetylase
P08510647A1347|99 113|barley globulins
P08420571A1880|22 24|PC4
P01850127A0000|90 105|non-snRNP protein
P10563789A1951|83 94|FSH receptors
P01752441A0000|30 44|HIV-1 Tat protein
P01420363T0000|13 15|AP1
P08794339A1162|106 109|p300
P09169853A0000|0 4|Pax-3
P09006935A0590|0 2|Sp1
P07608968A0836|149 151|TBP
P09553143A0729|8 13|ZAP-70
P08652081A1953|182 185|IL-4
P09806826A0244|74 81|Vwf locus
P08497269A0999|116 119|GCN2
P09339900A0939|140 142|Sp1
P10607900T0000|0 12|Sak kinase gene
P02300577A0852|63 77|endoglycosidase
P01864821A0000|67 77|globin chain
P08692885A0663|22 30|NF-kappaB
P04058985A0000|83 97|plasma prolactin
P02833012A0428|12 16|L mRNA
P08566756A0752|24 29|SAP 145
P11431348A0000|130 132|MEK
P09182527A0443|23 25|p53
P07565709A0000|98 111|T-cell receptor
P08760286A0696|30 32|Vav
P11408604A1440|54 62|ERK kinase
P08327488A0839|38 52|p70 coding region
P07540866A1069|37 42|ras GTP
P10556028A0292|131 146|RepA binding sites
P03001110A0546|100 113|tyrosine kinase
P08139542T0000|43 50|CPA1 gene
P08563483A0094|79 81|TSH
P08973630A0923|48 50|Rho
P07642538A0138|114 123|RSK mutants
P08871542A1352|90 107|Mtx minimal promoter
P10359792A0610|34 44|Rpd3 mutants
P07616569A0168|250 254|rps11
P08127950A0000|184 208|thyroid stimulating hormone
P11602353A0770|13 21|HNF-3 beta
P08992115A0199|96 98|KKS
P11570820T0000|4 24|casein kinase I isoforms
P07760844A0413|71 75|c-jun
P10823961A0664|14 17|TRBP
P10727433A0560|145 155|uPA promoter
P10202006A1266|72 83|anti-Z-DNA Ab
P01309587A0715|118 129|c-myb protein
P09735371A0227|109 134|LIM-type homeodomain protein
P11274184A1068|130 133|Nrf2
P09451857T0001|72 85|creatine kinase
P11094072A1234|14 18|c-Myb
P00219565A0172|14 30|hepatitis B antigen
P08601284A0000|133 140|U3 snoRNA
P08172598A0237|66 69|xynB
P08289339A0527|100 101|E1
P10681520A0525|32 36|v-Src
P09053309A1103|82 101|floor plate inducer shh
P11161816A0851|81 92|SH3GLB family
P08916960A1331|55 72|bcl-2 gene sequences
P09819391A1123|109 113|ASAP1
P10606272A1241|78 84|SF1 gene
P08891337A0614|117 120|p300
P10633075A1111|0 11|Preimmune IgG
P02154599A0382|95 111|Zta fusion proteins
P11094075A0257|123 127|v-mos
P10076007A0656|17 22|kinase
P09521913A0400|55 76|TGF-beta-related factor
P08706662A1125|154 158|NF-P2
P10364319A0109|64 69|EBNA3C
P10775038A0142|23 26|Wee1
P10648020A0151|162 171|fibrinogen
P02194273A0913|8 27|hyperimmune globulins
P09003312A0740|0 17|Full-length AT-PHH1
P09115365A0000|43 47|hsp70
P00603783A0647|13 15|IgG
P08535138A0857|98 103|cycMs4
P10229084A0000|340 347|SLAP-130
P07624581A0312|134 154|glutamine transaminase
P08589358A0841|16 29|erythropoietin
P08719155A0105|174 211|thrombospondin-related anonymous protein
P09254678A0106|270 276|PLP gene
P11256944A1144|39 52|G13 gene product
P09389666A0538|5 7|Hex
P07800479A0201|13 16|NSR1
P11243306A0961|31 45|oxLDL antibodies
P03008405A0532|60 64|HVC-1
P08194753A0157|45 63|MluI cell-cycle boxes
P10209119A0076|169 171|Cdk
P10073947A1110|37 41|PAI-1
P01542686A0000|121 123|p65
P10787437A1616|69 73|SRE-1
P10628748A0746|111 130|cAMP-response element
P09677410A1059|149 151|HBx
P10601344A1653|85 90|beta1A
P11223257A0404|125 128|PP2A
P10198003A1505|96 99|rsmB
P11376946A0000|38 84|SH2 domain-containing protein-tyrosine phosphatase
P10428862A0834|86 99|endogenous DokR
P07507207A0991|48 60|IRF-2 promoter
P08917435A0481|120 124|c-jun
P07853524A1944|34 41|thrombin
P10861909A0502|174 185|nmt1 promoter
P07610052A1064|203 216|rat APP promoter
P09681822A0520|9 26|c-erbB3 transcripts
P08439564A0883|111 128|porcine haptocorrin
P10691972T0000|76 79|MRP2
P03697971A0311|19 39|glutathione peroxidase
P08045431A0894|39 61|rubredoxin-like proteins
P01899409T0000a|83 119|recombinant tissue plasminogen activator
P08759870A1128|14 33|fbpA operator sequence
P07597488T0000|22 25|G6PD
P08943354A0295|124 133|Tyk2 kinase
P07759525A0417|54 72|protein kinase domain
P09288848A0780|15 18|HbO2
P10026784A2166|132 135|GTAT
P10779508A0452|43 46|SFRE
P08548291A1059|87 105|serum response factor
P11368787A0180|66 83|human annexin A5 gene
P01389362T0000|11 16|dentin
P11004369A0000|116 146|vascular endothelial growth factor
P08566773A1023|26 27|Ci
P09211354A0000|14 38|matrix metalloproteinase-3
P02123820A0000|74 78|MAO-B
P09789025A0149|61 64|RhoA
P09311796A0218|69 73|IEP86
P09254678A0106|200 207|PLP mRNAs
P10498706A1219|103 106|KdgR
P07553942A0810|40 44|rrn26
P08622893A0000|19 41|receptor tyrosine kinases
P08923460A0565|0 9|RUSH-1 beta
P01874195A0139|167 180|tyrosine kinase
P08692892A0330|148 159|alpha-factor
P08985415A1096|70 76|CAEV LTR
P03020513T0000|22 39|T4 DNA topoisomerase
P10683072T0000|78 90|interleukin-2
P09566871A0343|186 192|Ty1 cDNA
P02154599T0000|115 118|AP-1
P07798217T0095|8 31|glycogen synthase kinase-3
P08617216A0584|86 102|firefly luciferase
P08131746A0140|0 2|MEK
P09584180A0701|86 102|NF-kappaB proteins
P10935488A1033|65 101|adipocyte-type fatty acid binding protein
P07065206A0398|26 29|TXB2
P02094257T0000|17 34|adenosine deaminase
P02204621T0000|52 77|tRNA nucleotidyltransferase
P09601940A0280|24 30|CD1 gene
P01993181T0000|31 76|Pseudomonas putida PpG7 salicylate hydroxylase gene
P08532536A0925|81 85|BMP-2
P09234703A0192|57 61|Cdc42
P08098842A0660|125 129|c-fos
P07871754A0857|62 68|HPV gene
P08223875A0711|33 35|CD3
P10066815T0000|62 71|p85 subunit
P08643682A0268|29 44|wild-type CBFbeta
P11279086A1350|20 28|ADAM-TS12
P01620129A0417|33 51|nuclear factor HiNF-D
P08337841A0612|243 252|GNS protein
P06786756T0000|69 92|immunoglobulin delta genes
P11132148A0162|98 110|HLA class I loci
P09515924A0553|3 26|PDH complex-encoding genes
P07659746A1464|3 30|CVA16.4 proteolipid transcript
P09770493A0499|2 5|PP2A
P07935375A1197|13 36|dominant-negative ras gene
P09165039A1372|78 84|LHR gene
P08532536A0925|112 132|epidermal growth factor
P08931991A1026|98 112|nonmuscle myosin
P10619353T0000|131 137|COUP-TF
P10330159A1258|161 167|Jun-Fos
P10502216A0289|123 125|TPA
P08706731A1303|97 113|ribonuclease genes
P04164669T0000|24 28|kinin
P11384229A1669|87 104|beta-galactosidase
P02026147A0000|123 147|mammalian type II CaM kinases
P10369418A0644|198 200|p65
P08896280A0860|143 146|yvh1
P01633816A0667|183 192|S1 nuclease
P07406527A0212|33 41|porphyrin
P09482107A0551|52 54|C3G
P10366503A0812|191 203|portal protein
P08661007T0000|33 55|carbonic anhydrase family
P08981371A2049b|64 68|CSF-1
P00465681A0000|7 16|hemoglobin
P03185540T0000|130 134|TFIID
P02541251A1327|187 197|human T1 gene
P08918885A1087|117 120|Dig2
P09388246A0903|63 74|amphiphysin I
P11325944A0511|61 66|GST-Bc
P00055040A0000|116 125|fibrinogen
P11553704A0674|102 105|MAPK
P08763953A0805|53 56|traC
P10751398A1135|29 42|c-IAP2 promoter
P08770021T0000|67 69|Ras
P09162092A0675|0 3|MKK3
P09880512A1251|74 76|Sp1
P00881630A0000|70 86|Direct Lytic Factor
P09605934A0801|61 85|upstream stimulatory factor
P11298326A0677|26 36|Vkappa genes
P07926748A0383|88 91|not1
P10090146T0000|83 96|R-FABP promoter
P01316476A1428|40 48|ORF 62 gene
P08190633A0000|69 76|HLA locus
P07798207A0759|39 53|W3A1 ETF subunits
P01446828A1088|86 88|Sp1
P07530502T0000|14 24|Steel factor
P11280799A1025|93 120|PTHrP-neutralizing antibodies
P02865502T0000|40 70|tissue-type plasminogen activator
P08621719A0568|56 59|Grb2
P10656802A1724|25 51|cathepsin X amino acid sequence
P10586115A0477|94 97|IL-6
P09524222A0769|320 342|calmodulin binding domain
P09641167A1359|20 26|TGF beta
P09139737A0000|68 106|sterol regulatory element-binding proteins
P09105042A1497|145 173|mutant myosin heavy chain protein
P07636179A0000|100 122|cyclin-dependent kinases
P07730336A0606|15 18|CREM
P10681520A0525|100 102|Rac
P03133250A0000|99 101|hMG
P11040101A1180|144 146|JNK
P11517445A0221|35 46|V. cholerae O1
P09447994A0000|60 64|c-fos
P10836786A0516|145 153|RNase P RNA
P07636962A1883b|48 51|GAL4
P07999363A0000|60 63|FGFR
P11416012A2511|95 113|LDL receptor promoter
P11504709A0981|90 96|Ets site
P10767553A0100|0 2|Hex
P09650299A0000|0 4|VirD2
P11279038A0194|0 10|WRN helicase
P10693314A0521|24 28|CK-MB
P10825200T0000|88 91|Jak3
P07999066A0238|142 148|tat gene
P07844142A0640|44 49|SR beta
P08106313A1492|22 26|hrpRS
P07742363A0135|96 98|dsI
P09531559A1153|132 135|ZO-2
P10779352T0000|90 99|Rb proteins
P02423850A0292|101 113|yeast CYC1 gene
P09285789A0712|90 107|pleckstrin homology
P09790499A0545|31 39|hBub1 mRNA
P09524122A0336|21 24|GPA2
P10918572A0794|6 9|VaII
P09294422A1376|135 145|tac promoter
P08382300A0341|83 91|VP5 mutant
P07760844A0413|79 88|c-fos genes
P11034547A0674|119 145|homeodomain recognition sites
P02185140A0000|43 85|cytochrome P450 lanosterol 14 alpha-demethylase
P10805737T0000|104 107|eIF2
P01766666A0788|20 23|rE12
P09588228A0370|22 46|anticytokeratin 19 antibody
P11012680A1020|165 183|PLCgamma binding site
P09263856A0563|79 89|prothrombin
P07969152A0721|88 91|CUP1
P08833653A0783|8 12|isl-1
P09368058A0969|11 13|CAK
P09531559A1153|84 87|ZO-1
P07745726A0960|37 38|E1
P10799595A1454|74 88|HPV-6 E1 promoter
P10619353T0000|6 27|estrogen receptor ligand
P11139473A0696|108 120|SMemb promoter
P09079650A0136|32 59|extracellular response kinases
P02187871T0000|3 11|ANB1 locus
P09760243A0970|19 23|ATF-2
P10580438A0508|46 66|GLUT4 repressor element
P11158295A0158|71 73|SH3
P08652081A1953|131 134|IL-3
P07693975T0000|0 19|Reverse transcriptase
P09374541T0000|24 46|E2F recognition sequences
P11513579A0372|48 51|Rac1
P09162092A0675|38 40|p38
P08264582A0750|166 169|LIFR
P09858714A1171|69 75|sigma70
P08882492A0000|3 30|mammalian homeodomain proteins
P08756332A0000|26 49|small GTP-binding proteins
P01537845A0571|51 59|c-myb gene
P08316240A1068|41 45|CHL15
P02469451A0239|88 92|MAO-B
P10329135A1326|63 70|mt-hsp70
P11289149A0658|8 17|EWS protein
P07816049A1157|72 77|Athyp1
P09418861A0623|67 80|protein kinase C
P07559640A1230|133 145|bHLH core motif
P08861963A0375b|131 145|rrnBP1 UP element
P07951410A0647|67 68|RB
P07835273A0411|50 53|EGFR
P10587460A0302|47 50|hVDR
P09710589A1111|121 129|HTLV-1 LTR
P08429019A0735|3 8|DNase I
P09714835A0345|104 120|carboxypeptidase E
P11050084A0000|65 73|PPARalpha
P08530149A0689|32 36|c-myc
P09553040A0651|14 16|Epo
P09418040T0000|0 11|Mg-chelatase
P09753774A2246|138 149|fructan genes
P08876701A0177|26 37|UmuC-homolog
P08449978A0000|113 117|Cdc28
P10393969A0000|34 52|herpes simplex virus 1
P08294429A0153|19 25|hGH gene
P09192842A0988|192 200|ETS factor
P08621730T0000|2 20|AP-1 binding sequence
P10505694A0000|15 19|IL-12
P10187798A1098|29 35|sentrin
P10913276A0510|40 43|SOS1
P10380878A0542|46 49|Bin1
P09794795A0183|319 322|SHP2
P09560430A0000|0 3|Ime1
P09235998A0788|114 129|HMG-CoA reductase
P02185140A0000|216 220|pPHO5
P11134351A1405|13 18|MIP-2A
P08281634A1801|41 48|ferritin
P02372496A0782|23 35|angiotensin II
P09535833A0228|75 125|selenocysteine tRNA gene transcription activating factor
P09094315A0541|41 45|B-Myb
P01511950T0000|96 119|hepatitis B surface antigen
P02647918A0423|26 38|somatomedin-C
P08825556A0522|113 116|CREB
P09421507A0000|3 17|SR protein family
P08534855A0000|30 66|chloroplast omega-3 fatty acid desaturase
P08683106A0374|15 23|IFN-alpha
P08382359A0469|148 166|pRb-binding sequence
P08621730T0000|73 78|COL1A2
P08628255A0932|36 45|luciferase
P09727046A0784|68 73|GATA-1
P08647086A0622|22 29|cyclin D1
P09557708A1426|11 15|actin
P08663326A0000|65 73|dmp operon
P10051400A0000|3 15|Lp mouse mutant
P09488486A0000|3 24|TATA box-binding protein
P07543592A0624|39 56|wild-type E5 protein
P10611242A0541|62 73|HIS3 promoter
P07749461A1022|23 46|sGTH alpha subunit promoter
P02595451A1136|115 118|MIC1
P09710599A0310|17 21|ets-2
P11095248A0423|9 25|mammalian proteins
P09884232A0286|71 74|attR
P07935471A0613|81 90|Xenopus HSF
P10918059A0569|13 21|RVH domain
P11159363A1251|38 47|E2F element
P08045431A0894|0 3|HupI
P09447979A1430|72 102|guanine nucleotide exchange factor
P07919540A0240|66 68|p64
P09188699A1388|14 25|SP-A isoforms
P07951410A1332|0 2|E1A
P08522511A1250|8 10|PLB
P10628971A0824|99 125|vacuolar protein sorting genes
P06382374A0206|25 31|insulin
P11093745A0563|15 22|HNF3 site
P10843810A0802|75 103|human tyrosine phosphatase 1 gene
P11208814A0673|124 125|m7
P09651367T0000|23 25|Ras
P08626596A0000|62 65|AMPK
P10501965A0879|86 89|Rsk3
P03992022A0330|69 99|aminopyrine- and TMO N-demethylase
P07682842A0294|224 238|human fMLF-R gene
P09611229A1664|32 35|FAS1
P11522658A0870|87 97|nuclear Cdk2
P01386897A0000|121 124|CLN1
P01968156T0000|21 34|botulinum toxin
P07935370A0000|32 34|CD8
P08637717A1231|50 53|PCNA
P01846206A0665|23 33|human CMV dbp
P02176822A0000|0 27|Multifunctional protein kinase
P02552143A0748|0 2|VP5
P09855111A0905|108 112|SREBP
P08223576A1261|31 38|T protein
P01970560A1024|25 45|aroF regulatory regions
P11410664A0963|85 92|human MPG
P07260389A0221|38 55|serotonin receptors
P01542667A0125|15 23|IFN-gamma
P09349501A0196|87 94|MLL-LTG9
P10652102A0620|30 42|wild-type Fus3
P09438427A0727|22 31|CE2 element
P11169113A0555|22 26|p16.7
P08750190A0000|134 144|CD44 variant
P03952387A0336|81 93|oxyhemoglobin
P07706291T0000|2 12|E box element
P09327881T0000|41 60|dopamine transporters
P00377466A0188|69 71|FSH
P11157784A0141|64 69|sc11.1
P01320255A0795|158 164|human L1
P10488088T0000|0 25|Insulin-like growth factor-I
P09003462A0792|46 50|SL196
P08383622T0000|10 13|GABP
P07622058A0411|3 20|PEBP2 alpha proteins
P07629113A0726|48 63|metalloproteases
P08453101A0128|22 29|anti-CD3
P11072155A0764|42 49|TGF beta 1
P10512699T0000|176 179|selB
P02850967T0000|11 27|proto-oncogene fos
P11371417A0744|223 227|MIP-2
P08620856A1172|108 124|mouse c-kit protein
P08413215A0327|33 49|NF-kappa B subunits
P09271417A1011|3 37|MCAD nuclear receptor response element 1
P04196986T0000|18 30|transferrin II
P07745726A0960|42 43|E2
P10542274A1376|26 39|protein kinase A
P10225279A0450|35 42|MDV2 UL54
P09311810A0814|21 35|cyclin D3 protein
P10623758A0947|74 91|beta-galactosidase
P11312120A1311|0 8|NF-kappaB
P09002672A0439|127 131|hTRF1
P02019572A0000|59 80|rat liver pyruvate kinase
P09003312A0740|36 52|AT-PHH1 delta C-513
P08626610A0931|38 44|SREBP-1
P03275873A0379|85 95|mutant genes
P08534848A0188b|8 17|NR isoforms
P11368363A1103|76 82|rat HBP1
P10710742T0000|38 49|gonadotropin
P01774093T0000|30 32|IgM
P01626430A1112|26 30|RAD54
P08196624A0593|27 33|ActR-IB
P10862289A0289|101 110|A60 antigen
P09162097A0776|163 172|L-selectin
P07883167A0157|31 39|UPF3 genes
P11522626A1374|116 132|estrogen receptors
P10585480A0157|43 73|guanine nucleotide exchange factor
P11375392T0000|17 42|human thioredoxin reductase 1
P11313398A0687|13 20|FcalphaR
P10669596A0430|210 223|RecBCD nuclease
P09884232A0286|151 163|integrase gene
P07876194T0000|110 129|tyrosine kinase domain
P01380454A0451|43 51|ref-1 gene
P07802655T0000|96 119|L14 ribosomal protein genes
P10413676A1193|29 32|FRNK
P08093450A0688|76 107|chloramphenicol acetyltransferase
P08868473A1287|13 15|p28
P10571047A1009|88 103|HindIII fragments
P09822602A0237|221 223|CBP
P08576245A0000|0 4|GRP78
P01357528A0084|63 68|SEF-17
P09729481A1177|20 22|Sp1
P10721714A1087|46 48|Sp1
P09925777A1195|55 73|beta-globin reporter
P09579808A0000|79 89|EC 2.4.1.143
P10501965A0879|68 84|ribosomal s6 kinase
P08652081A1953|98 101|IL-1
P02820128A1670|219 227|T2 protein
P07579328A1345|38 42|MZF-1
P08642313T0000|122 149|nuclear factor-kappa B proteins
P10198061A0339|104 106|Ran
P01396592A1113|97 110|SCL gene product
P02445751A0925|70 86|cytochrome oxidase
P07064923T0000|11 34|phenylalanine hydroxylase
P07761434A1084|5 8|AP-1
P08262041A0727|3 14|phi AP3 factor
P07852400A0519|56 59|RhoA
P01679749A1171|136 156|HSPG2 proteoglycan gene
P10652324A0177|26 33|collagen
P09311796A0218|113 115|TBP
P08615025A1214|26 28|Env
P07951410A0647|56 62|cyclin A
P07890674A0916|3 10|catenins
P10786671A0182|23 32|telomerase
P11306511A1476|86 94|mdm2 mRNAs
P09139665A0784|53 62|Gbetagamma
P04033402A1112|38 52|HDL-cholesterol
P09454735A1782|11 13|MEK
P11073954A0337|3 10|Psc2 cDNA
P11429702A0917|107 118|FGFR3 mutants
P07659085A1520|32 36|Oct-1
P08144470A0711|20 32|asgB480 allele
P09892642A0172|4 14|DNA helicase
P08683106A0374|33 42|STAT1 alpha
P09763470A1756|118 121|CREB
P10871045A1221|18 26|C / EBPbeta
P11090272A1240|40 48|human ORL1
P09705324A1602|56 59|HNF1
P09884232A0286|64 67|attL
P01371413A0742|14 23|hGCSFR gene
P02308496A0000|55 58|ACTH
P08632018A0587|72 81|UGT1A1 gene
P10915780A1063|50 61|cyclin D1 mRNA
P09575143A1189|75 91|SRC-family kinases
P08396261A0388|71 81|PKA subunits
P01691184A0995|0 4|Gap b3
P11005831A0242|133 137|AREB2
P07816049A0686|0 5|Atcys1
P07616569A0168|183 195|ribosomal RNAs
P09468386A0594|0 4|Pet-1
P10416558A0000|129 131|CD4
P02557217A0398|37 50|beta-endorphin
P09892662A0334|115 129|adenylyl cyclase
P10713176A0885|132 134|p16
P07559355A0066|40 45|urease
P09694869A0932|190 208|STAT response element
P10512857A0000|30 40|plakoglobin
P09148770A0977|0 10|Cellular Csk
P02532032A0385|51 55|renin
P07961957A1565|44 48|TEF-1
P07644466A0578|36 38|NS3
P08516324A0000|166 172|EWS gene
P09057325A0177|51 55|pat-1
P11114718A0349|105 111|cyclin E
P06328504A0161|93 114|phosphoglycerate kinase
P07628451A0114|19 21|E1A
P08959778A0292|91 93|DGF
P01516829A0113|36 39|SNF6
P10478844A1604|100 110|PPARalphatr
P08276865A1188|106 111|p21 ras
P09582953A0000|144 164|coagulation factors VII
P02839716A0673|13 22|E2 proteins
P08260635A0926|113 116|GapA
P09235618A0000|164 166|IgG
P11023832A1038|165 173|NF-kappaB
P11323716A0413|15 19|RAD23
P01394655A0615b|0 5|Urease
P09537651A0366|20 23|STAT
P08383214A0389|73 94|C-terminal RNase H domain
P11395469A1373|66 69|sid1
P07806492A1162|15 23|cucumisin
P11369700A0616|110 113|PU.1
P09741783A0000|21 29|aromatase
P10567430A0785|90 93|GRK2
P10734312A0503|19 21|Shc
P07626806A1098|3 10|RAT3 gene
P08816482A0234|27 31|Stat5
P10428811A0628|0 4|Cat-1
P09349501A0196|98 106|MLL-LTG19
P10512882A0137|25 27|FAK
P10959838A0153|65 84|nitrilase superfamily
P10477620A0580|141 143|IKK
P00201881A0487|65 68|ACTH
P11105717A0123|148 157|hemoglobin
P10587576A0596|86 100|SH3GL pseudogene
P08621719A0000|34 59|c-cbl proto-oncogene product
P10526670A1828|154 156|Ras
P08454591A1322|40 42|TNF
P11119611A0428|58 62|LANA2
P08138180A0593|7 11|spt10
P11821098A0269|39 40|LH
P07815811A1487b|32 43|endothelin-1
P09780228A0613|30 33|FkbB
P09933428A0351|0 8|IFN-gamma
P11007954A0170|135 166|tyrosine kinase-activated receptor
P05170106T0034|90 101|chymotrypsin
P09748286A0000|49 85|human leukemia inhibitory factor receptor
P06959130A0996|53 65|human factor IX
P09334330A0252|56 63|TGF-beta
P01309587A0715|101 108|Z protein
P10344736A0796|83 104|cyclin E immunocomplexes
P09115395A0478|75 117|epithelial-microtubule associated protein-115
P07814321A0850|14 17|prfA
P08804389A0893|29 32|Ltp4
P08663127A0697|20 23|KCC1
P10359673A0000|24 45|lipoamide dehydrogenase
P10652228A0759|25 45|c-Jun N-terminal kinase
P10037681A0494|143 152|RhoAVal-14
P07935471A0613|17 19|HSF
P08703908A1814|110 117|StAR gene
P09006051A1162|0 3|PrpB
P08649425A0373|57 62|DNase I
P09317131A1332|127 146|human IgE germline gene
P09712915A0672|111 113|Sp3
P09343433A0000|62 67|RNAP II
P08561897A0604|43 67|upstream stimulatory factor
P10498717A1048|53 56|rsmB
P11281268A0000|7 31|two-domain arginine kinases
P08732665A0000|270 272|EGF
P09804779A1163|32 36|Stat5
P07864652A1901|92 95|E2L2
P08034680A0180|88 100|I kappa B kinase
P08288240A0304|37 41|SCG10
P11251083T0000|63 83|epidermal growth factor
P08702633A0164|85 101|Shc adapter protein
P09188863A0954|21 26|CDC25B
P01694525A0000|24 32|epimerase
P01822995T0000|60 77|dicot rbcS promoters
P08838585A0968|71 77|ras-p21
P09287362A0589|26 34|SH3 region
P02142240A0506|79 95|estrogen receptors
P07926749A0471|78 94|ROR alpha 2 isoforms
P01675763A1389|37 40|CD4+
P08824805A0832|75 84|p55 protein
P09638342T0000|17 18|L1
P09083291A1378|5 13|TGF-beta1
P01992459A0000|97 114|Rev response element
P11005831A0242|148 182|ABA-responsive element binding protein
P10602516A0182|75 79|M-NAP
P09083291A1378|194 196|pRb
P08090746A1288|154 159|E4 gene
P07687541A0992|120 123|CNR2
P03007281A0905|3 13|Dox-A2 locus
P09649437A1140|62 77|Ets family members
P10551788A0229|47 52|CGbeta
P08105727A0099|12 27|dopamine receptor
P01347664A1026|50 56|CAD mRNA
P10872473A2286|41 47|XH2 gene
P08172653A1589|38 48|TnT isoforms
P09792439T0000|15 33|apolipoprotein B mRNA
P09535851A0591|92 103|gamma isoform
P08756332A0000|129 146|protein kinase c-Raf
P10454568A0815|147 149|EGF
P02595451A1136|18 29|aniridia gene
P07846163A0422|13 20|GRF genes
P10702794A1495|58 62|HePTP
P01285009A0000|26 43|human growth hormone
P07902583A0545|45 49|Grf10
P09521909A0081|0 18|APETALA3 transcripts
